"Timestamp","320.001-SB401_R_Tl_Etl","320.001-RT502_Tl_Etl"
"22/03/2022 21:32:50","40,000","36,080"
"22/03/2022 21:32:40","40,000","36,080"
"22/03/2022 21:32:30","40,000","36,090"
"22/03/2022 21:32:20","40,000","36,090"
"22/03/2022 21:32:10","40,000","36,090"
"22/03/2022 21:32:00","40,000","36,090"
"22/03/2022 21:31:50","40,000","36,090"
"22/03/2022 21:31:40","40,000","36,090"
"22/03/2022 21:31:30","40,000","36,090"
"22/03/2022 21:31:20","40,000","36,090"
"22/03/2022 21:31:10","40,000","36,090"
"22/03/2022 21:31:00","40,000","36,090"
"22/03/2022 21:30:50","40,000","36,090"
"22/03/2022 21:30:40","40,000","36,090"
"22/03/2022 21:30:30","40,000","36,090"
"22/03/2022 21:30:20","40,000","36,090"
"22/03/2022 21:30:10","40,000","36,090"
"22/03/2022 21:30:00","40,000","36,090"
"22/03/2022 21:29:50","40,000","36,090"
"22/03/2022 21:29:40","40,000","36,090"
"22/03/2022 21:29:30","40,000","36,090"
"22/03/2022 21:29:20","40,000","36,090"
"22/03/2022 21:29:10","40,000","36,090"
"22/03/2022 21:29:00","40,000","36,090"
"22/03/2022 21:28:50","40,000","36,090"
"22/03/2022 21:28:40","40,000","36,090"
"22/03/2022 21:28:30","40,000","36,090"
"22/03/2022 21:28:20","40,000","36,090"
"22/03/2022 21:28:10","40,000","36,090"
"22/03/2022 21:28:00","40,000","36,100"
"22/03/2022 21:27:50","40,000","36,100"
"22/03/2022 21:27:40","40,000","36,100"
"22/03/2022 21:27:30","40,000","36,100"
"22/03/2022 21:27:20","40,000","36,100"
"22/03/2022 21:27:10","40,000","36,100"
"22/03/2022 21:27:00","40,000","36,100"
"22/03/2022 21:26:50","40,000","36,110"
"22/03/2022 21:26:40","40,000","36,110"
"22/03/2022 21:26:30","40,000","36,100"
"22/03/2022 21:26:20","40,000","36,110"
"22/03/2022 21:26:10","40,000","36,110"
"22/03/2022 21:26:00","40,000","36,110"
"22/03/2022 21:25:50","40,000","36,110"
"22/03/2022 21:25:40","40,000","36,110"
"22/03/2022 21:25:30","40,000","36,110"
"22/03/2022 21:25:20","40,000","36,110"
"22/03/2022 21:25:10","40,000","36,110"
"22/03/2022 21:25:00","40,000","36,110"
"22/03/2022 21:24:50","40,000","36,120"
"22/03/2022 21:24:40","40,000","36,120"
"22/03/2022 21:24:30","40,000","36,120"
"22/03/2022 21:24:20","40,000","36,120"
"22/03/2022 21:24:10","40,000","36,120"
"22/03/2022 21:24:00","40,000","36,120"
"22/03/2022 21:23:50","40,000","36,130"
"22/03/2022 21:23:40","40,000","36,130"
"22/03/2022 21:23:30","40,000","36,130"
"22/03/2022 21:23:20","40,000","36,130"
"22/03/2022 21:23:10","40,000","36,130"
"22/03/2022 21:23:00","40,000","36,130"
"22/03/2022 21:22:50","40,000","36,130"
"22/03/2022 21:22:40","40,000","36,140"
"22/03/2022 21:22:30","40,000","36,140"
"22/03/2022 21:22:20","40,000","36,140"
"22/03/2022 21:22:10","40,000","36,140"
"22/03/2022 21:22:00","40,000","36,140"
"22/03/2022 21:21:50","40,000","36,140"
"22/03/2022 21:21:40","40,000","36,140"
"22/03/2022 21:21:30","40,000","36,150"
"22/03/2022 21:21:20","40,000","36,150"
"22/03/2022 21:21:10","40,000","36,150"
"22/03/2022 21:21:00","40,000","36,150"
"22/03/2022 21:20:50","40,000","36,150"
"22/03/2022 21:20:40","40,000","36,160"
"22/03/2022 21:20:30","40,000","36,160"
"22/03/2022 21:20:20","40,000","36,160"
"22/03/2022 21:20:10","40,000","36,160"
"22/03/2022 21:20:00","40,000","36,170"
"22/03/2022 21:19:50","40,000","36,170"
"22/03/2022 21:19:40","40,000","36,170"
"22/03/2022 21:19:30","40,000","36,170"
"22/03/2022 21:19:20","40,000","36,180"
"22/03/2022 21:19:10","40,000","36,180"
"22/03/2022 21:19:00","40,000","36,180"
"22/03/2022 21:18:50","40,000","36,180"
"22/03/2022 21:18:40","40,000","36,190"
"22/03/2022 21:18:30","40,000","36,190"
"22/03/2022 21:18:20","40,000","36,190"
"22/03/2022 21:18:10","40,000","36,200"
"22/03/2022 21:18:00","40,000","36,200"
"22/03/2022 21:17:50","40,000","36,200"
